Property_Type,Transaction_Type,Location,latitude,longitude,Price,Area_sqft,Price_per_sqft,area_type,Construction_Status,Age_in_Years,Possession_Date,Furnishing_Status,Zoning,Facing,Overlooking,Pantry,Water_Availability_Status,Washrooms,Floor_Number,Total_Floors,Covered_Parking,Open_Parking,Open_Sides,Plot_Length,Plot_Breadth,Entrance_Width_ft,Road_Width_m
showroom,sale,hauz khas new delhi,28.544997,77.1891506,62500000.0,1400.0,44642.86,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,hauz khas new delhi,28.544997,77.1891506,44000000.0,1496.0,29411.76,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,3.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,phase 2 udyog vihar gurgaon,28.5048174,77.0839702,1400000000.0,190000.0,7368.42,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,10.0,0.0,11.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,phase 2 udyog vihar gurgaon,28.5048174,77.0839702,1350000000.0,180000.0,7500.0,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,phase 2 udyog vihar gurgaon,28.5048174,77.0839702,250000000.0,32000.0,7812.5,Super Area,Ready to Move,0.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,7.0,5.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,phase 2 udyog vihar gurgaon,28.5048174,77.0839702,90000000.0,22000.0,4090.91,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,phase 2 udyog vihar gurgaon,28.5048174,77.0839702,42500000.0,5400.0,7870.37,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 67 gurgaon,28.3864052,77.0598046,11399999.0,785.0,14522.29,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Main Road,Wet Pantry/Cafeteria,NotSpecified,2.0,1.0,4.0,1,0,1.0,40.0,85.0,12.0,24.0
shop,sale,dadri road noida,28.5566273,77.3257596,28700000.0,4500.0,6377.78,Carpet Area,Ready to Move,7.5,Not Specified,Semi-Furnished,Not Specified,North,Not Specified,Not Specified,NotSpecified,2.0,2.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,kashmere gate new delhi,28.6328027,77.2197713,2200000.0,100.0,22000.0,Super Area,Ready to Move,-1.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,delhi gurgaon expressway gurgaon,28.4831817,76.9873663,24500000.0,450.0,54444.44,Carpet Area,Ready to Move,2.5,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,ramprastha colony ghaziabad,28.6585158,77.3236527,5500000.0,245.0,22448.98,Super Area,Ready to Move,7.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,24Hours,2.0,-1.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 140a noida,28.5097759,77.4211609,8000000.0,250.0,32000.0,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,25.0,0,0,1.0,40.0,85.0,12.0,24.0
showroom,sale,nh 24 noida,28.5706333,77.3272147,9500000.0,350.0,27142.86,Super Area,Ready to Move,-1.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,6.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,badkhal road faridabad,28.4128345,77.2889358,5400000.0,405.0,13333.33,Super Area,Ready to Move,-1.0,Not Specified,Furnished,Not Specified,North,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,1,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 90 gurgaon,28.4069974,76.9365562,4600000.0,80.0,57500.0,Carpet Area,Ready to Move,2.5,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,24Hours,2.0,0.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,dlf garden city central gurgaon,28.4646148,77.0299194,56000000.0,1008.0,55555.56,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Commercial,North,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,56.0,18.0,12.0,24.0
land,sale,niti khand 1 ghaziabad,28.7749966,77.4586967,75000000.0,2592.0,28935.19,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Residential,North,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 140a noida,28.5097759,77.4211609,8000000.0,250.0,32000.0,Carpet Area,Under Construction,-1.0,May '26,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,25.0,0,0,1.0,40.0,85.0,12.0,24.0
showroom,sale,khan market new delhi,28.5995141,77.2259785,220000000.0,1700.0,129411.76,Super Area,Ready to Move,25.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,delhi gurgaon expressway gurgaon,28.4831817,76.9873663,8259999.0,1621.0,5095.62,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,5.0,9.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,delhi gurgaon expressway gurgaon,28.4831817,76.9873663,11000000.0,1639.0,6711.41,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,21.0,23.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,delhi gurgaon expressway gurgaon,28.4831817,76.9873663,12000000.0,1800.0,6666.67,Super Area,Ready to Move,0.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,11.0,15.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial shed,sale,sector 138 noida,28.5156257,77.4166209,65000000.0,7000.0,9285.71,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,mehrauli new delhi,28.5177553,77.1714281,6000000.0,207.0,28985.51,Super Area,Ready to Move,-1.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 48 gurgaon,28.4104903,77.0394627,18000000.0,1454.0,12379.64,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Main Road,Dry Pantry/Cafeteria,NotSpecified,4.0,3.0,6.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,ashok nagar new delhi,28.5890885,77.3015085,9800000.0,900.0,10888.89,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,3.0,1.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,noida extension noida,28.5706333,77.3272147,2150000.0,297.0,7239.06,Super Area,Ready to Move,0.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,10.0,15.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,beta 2 greater noida,28.4848659,77.5134595,10000000.0,740.0,13513.51,Carpet Area,Ready to Move,7.5,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,14.0,0,0,1.0,40.0,85.0,15.0,24.0
industrial building,sale,badkhal pali road faridabad,28.4031478,77.3105561,8500000.0,4455.0,1907.97,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,gaur city 1 greater noida,28.4670734,77.5137649,2800000.0,141.0,19858.16,Super Area,Ready to Move,2.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,20.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,yamuna expressway greater noida,28.406404,77.520785,2400000.0,442.0,5429.86,Super Area,Ready to Move,-1.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,noida express way noida,28.5706333,77.3272147,4500000.0,224.0,20089.29,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 66 gurgaon,28.3974292,77.0538823,174100000.0,7500.0,23213.33,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Garden/Park,Wet Pantry/Cafeteria,NotSpecified,3.0,1.0,4.0,13,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sarojini nagar new delhi,28.575817,77.1980786,30000000.0,301.0,99667.77,Super Area,Ready to Move,0.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,9.0,10.0,0,0,1.0,40.0,85.0,30.0,24.0
office space,sale,sector 70a gurgaon,28.3846684,77.0220391,9850000.0,394.0,25000.0,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Not Specified,Wet Pantry/Cafeteria,NotSpecified,1.0,1.0,4.0,0,1,1.0,40.0,85.0,12.0,24.0
shop,sale,chandni chowk new delhi,28.6328027,77.2197713,30000000.0,1900.0,15789.47,Carpet Area,Ready to Move,25.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,24Hours,2.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
warehouse/ godown,sale,paharganj new delhi,28.6337722,77.216499,18000000.0,1300.0,13846.15,Super Area,Ready to Move,12.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,mayapuri new delhi,28.6371795,77.1297333,10000000.0,900.0,11111.11,Super Area,Ready to Move,0.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,luksar greater noida,28.5706333,77.3272147,16100000.0,1507.0,10683.48,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Commercial,North - West,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,54.1,27.8,12.0,24.0
shop,sale,sector 102 gurgaon,28.4754872,76.9711747,7000000.0,287.0,24390.24,Super Area,Ready to Move,2.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
showroom,sale,govindpuri new delhi,28.539116,77.2642672,15000000.0,950.0,15789.47,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,new delhi,28.6430858,77.2192671,19000000.0,109.0,174311.93,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,gulmohar enclave gulmohar park new delhi,28.6328027,77.2197713,1000000.0,70.0,14285.71,Carpet Area,Ready to Move,17.5,Not Specified,Unfurnished,Not Specified,North - East,Not Specified,Not Specified,NotSpecified,2.0,0.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,mandi house new delhi,28.6256122,77.2341966,37000000.0,1400.0,26428.57,Carpet Area,Ready to Move,-1.0,Not Specified,Furnished,Not Specified,East,Not Specified,Not Specified,NotSpecified,2.0,-1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,dlf ankur vihar ghaziabad,28.7749966,77.4586967,4000000.0,85.0,47058.82,Carpet Area,Ready to Move,2.5,Not Specified,Unfurnished,Not Specified,East,Not Specified,Not Specified,NotSpecified,2.0,-1.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,mathura road faridabad,28.3650553,77.314851,3000000.0,140.0,21428.57,Super Area,Ready to Move,17.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,sector 29 gurgaon,28.4669197,77.0671306,320000000.0,2970.0,107744.11,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Commercial,North - West,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,99.0,30.0,12.0,24.0
shop,sale,sector 95 gurgaon,28.4149443,76.9114892,6000000.0,200.0,30000.0,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
showroom,sale,pari chowk area greater noida,28.5706333,77.3272147,10000000.0,500.0,20000.0,Super Area,Ready to Move,0.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 107 gurgaon,28.506941,76.9752137,4700000.0,80.0,58750.0,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,East,Not Specified,Not Specified,NotSpecified,2.0,1.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,south city 2 gurgaon,28.4188805,77.0439211,7000000.0,130.0,53846.15,Carpet Area,Ready to Move,17.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 43 noida,28.5575946,77.351679,35000000.0,946.0,36997.89,Super Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,24Hours,2.0,1.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 65 gurgaon,28.4030162,77.0695893,7500000.0,340.0,22058.82,Carpet Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,24Hours,2.0,0.0,4.0,1,0,1.0,40.0,85.0,12.0,24.0
shop,sale,laxmi nagar new delhi,28.576794,77.2062778,3000000.0,100.0,30000.0,Super Area,Ready to Move,-1.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,knowledge park 5 greater noida,28.478588,77.4813689,5000000.0,280.0,17857.14,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Garden/Park,Personal Pantry/Cafeteria,NotSpecified,1.0,1.0,4.0,1,0,1.0,40.0,85.0,12.0,24.0
industrial shed,sale,block 1 surajpur site 5 greater noida,28.5706333,77.3272147,59400000.0,16000.0,3712.5,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial shed,sale,block 1 surajpur site 5 greater noida,28.5706333,77.3272147,12000000.0,4843.76,2477.41,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,block 1 surajpur site 5 greater noida,28.5706333,77.3272147,57600000.0,34450.0,1671.99,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,block 1 surajpur site 5 greater noida,28.5706333,77.3272147,24000000.0,10330.0,2323.33,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial shed,sale,block h surajpur site 5 greater noida,28.5706333,77.3272147,14800000.0,8611.12,1718.71,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial shed,sale,block h surajpur site 5 greater noida,28.5706333,77.3272147,62500000.0,15000.0,4166.67,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,block h surajpur site 5 greater noida,28.5706333,77.3272147,15200000.0,8611.0,1765.18,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,block h surajpur site 5 greater noida,28.5706333,77.3272147,4520000.0,4050.0,1116.05,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,block h surajpur site 5 greater noida,28.5706333,77.3272147,10800000.0,6459.0,1672.09,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,noida express way noida,28.5706333,77.3272147,7309999.0,215.0,34000.0,Super Area,Under Construction,-1.0,Jun '29,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,19.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial shed,sale,block e surajpur site 5 greater noida,28.5706333,77.3272147,26500000.0,6200.01,4274.19,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,block e surajpur site 5 greater noida,28.5706333,77.3272147,22500000.0,8611.0,2612.94,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial shed,sale,block e surajpur site 5 greater noida,28.5706333,77.3272147,48000000.0,69965.35,686.05,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial shed,sale,block e surajpur site 5 greater noida,28.5706333,77.3272147,44000000.0,16468.77,2671.72,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial shed,sale,block e surajpur site 5 greater noida,28.5706333,77.3272147,44500000.0,16468.77,2702.08,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,knowledge park 2 greater noida,28.478588,77.4813689,3030000.0,610.0,4967.21,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,4.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,knowledge park 2 greater noida,28.478588,77.4813689,7200000.0,600.0,12000.0,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,knowledge park 2 greater noida,28.478588,77.4813689,2980000.0,600.0,4966.67,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,4.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,knowledge park 2 greater noida,28.478588,77.4813689,6200000.0,612.0,10130.72,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,panchavati new delhi,28.6328027,77.2197713,10000000.0,1054.86,9479.93,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Dry Pantry/Cafeteria,NotSpecified,2.0,2.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 63a gurgaon,28.3627664,76.9193261,17000000.0,900.0,18888.89,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,24Hours,2.0,0.0,9.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,mayur vihar 1 new delhi,28.6328027,77.2197713,140000000.0,2250.0,62222.22,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,knowledge park 5 greater noida,28.478588,77.4813689,4000000.0,349.0,11461.32,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 85 gurgaon,28.403652,76.9531428,23000000.0,385.0,59740.26,Carpet Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,East,Not Specified,Not Specified,NotSpecified,2.0,0.0,7.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,pusta road greater noida,28.5706333,77.3272147,5000000.0,597.0,8375.21,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
